Genre,Publication Date,Author,Title,Rating,Ratings Count,Reviews Count,Author Info
GenresItalyNonfictionItalian LiteratureHistoryMemoirClassicsTravel ...more,"First published January 1, 1945",Carlo Levi,Christ Stopped at Eboli: The Story of a Year,4.11,"8,942 ratings",766 reviews,Carlo Levi68 books134 followers
GenresFictionHistorical FictionClassicsFamilyLiterary FictionBook ClubHistorical ...more,"First published January 1, 1962",Jetta Carleton,The Moonflower Vine,3.95,"5,281 ratings",821 reviews,Jetta Carleton6 books38 followers
GenresPlaysClassicsPoetryDramaFictionHistorical FictionTheatre ...more,"First published January 1, 1936",T.S. Eliot,Murder in the Cathedral,3.72,"11,071 ratings",643 reviews,"T.S. Eliot1,010 books5,222 followers"
GenresYoung AdultFantasyRomanceParanormalWerewolvesUrban FantasyFiction ...more,"First published January 1, 1990",Annette Curtis Klause,Blood and Chocolate,3.80,"42,975 ratings","2,480 reviews","Annette Curtis Klause8 books1,034 followers"
GenresFranceFictionClassicsFrench LiteratureRomanLiteratureNovels ...more,"First published January 1, 1958",Marguerite Duras,Moderato cantabile,3.49,"6,011 ratings",477 reviews,"Marguerite Duras310 books2,842 followers"
GenresFantasyFictionEpic FantasyHigh FantasyScience Fiction FantasyYoung AdultAdventure ...more,"First published August 12, 1988",David Eddings,Demon Lord of Karanda,4.06,"42,933 ratings",373 reviews,"David Eddings360 books5,389 followers"
GenresComicsHumorGraphic NovelsFictionComic StripsComedyComic Book ...more,"First published September 1, 1996",Bill Watterson,It's a Magical World,4.73,"28,558 ratings",440 reviews,"Bill Watterson390 books4,605 followers"
GenresPsychologyNonfictionDeathPhilosophySelf HelpMedicineSpirituality ...more,"First published January 1, 1969",Elisabeth Kübler-Ross,"On Death and Dying: What the Dying Have to Teach Doctors, Nurses, Clergy and Their Own Families",4.16,"26,807 ratings",780 reviews,"Elisabeth Kübler-Ross123 books1,441 followers"
GenresScience FictionYoung AdultFictionDystopiaFantasyChildrensAdventure ...more,"First published April 1, 1967",John Christopher,The White Mountains,3.95,"14,013 ratings","1,083 reviews",John Christopher176 books524 followers
GenresShort StoriesFictionSpanish LiteratureClassicsLatin AmericanLiteratureMagical Realism ...more,"First published January 1, 1956",Julio Cortázar,Final del juego,4.30,"7,995 ratings",455 reviews,"Julio Cortázar675 books6,541 followers"
GenresSpiritualitySelf HelpNonfictionPsychologyMetaphysicsInspirationalNew Age ...more,"First published January 1, 1986",Sanaya Roman,Living with Joy: Keys to Personal Power and Spiritual Transformation,4.45,"1,622 ratings",77 reviews,Sanaya Roman95 books239 followers
GenresFictionTravelAfricaMoroccoContemporaryNovelsFamily ...more,"First published January 30, 1992",Esther Freud,Hideous Kinky,3.51,"3,839 ratings",315 reviews,Esther Freud26 books214 followers
GenresHistorical FictionFictionHistoricalRomanceHistorical RomanceBritish Literature18th Century ...more,"First published July 12, 1986",Karleen Koen,Through a Glass Darkly,3.97,"11,211 ratings",897 reviews,Karleen Koen15 books512 followers
GenresFictionFantasyPhilosophyRomanceNovelsSpiritualityMagical Realism ...more,"First published January 1, 1990",Paulo Coelho,Brida,3.50,"80,236 ratings","4,151 reviews",Paulo Coelho278 books135k followers
GenresFantasyFictionEpic FantasyHigh FantasyHeroic FantasyAdventureSword and Sorcery ...more,"First published April 5, 1984",David Gemmell,Legend,4.26,"33,316 ratings","1,714 reviews","David Gemmell170 books3,335 followers"
GenresFictionHistorical FictionNovelsLiteratureClassicsHistoricalPolitics ...more,"First published January 1, 1984",Abdul Rahman Munif,Cities of Salt,4.06,"4,562 ratings",727 reviews,Abdul Rahman Munif9 books31 followers
GenresFictionNovelsLiteratureAmericanJewishLiterary Fiction20th Century ...more,"First published January 1, 1986",Philip Roth,The Counterlife,3.92,"5,237 ratings",425 reviews,"Philip Roth234 books6,874 followers"
GenresFictionFeminismAfrican AmericanAfricaClassicsHistorical FictionLiterature ...more,"First published January 1, 1992",Alice Walker,Possessing the Secret of Joy,4.09,"15,501 ratings",751 reviews,"Alice Walker256 books6,747 followers"
GenresHistorical RomanceHistorical FictionHistoricalFictionAudiobookAdultRegency ...more,"First published January 5, 2000",Julia Quinn,The Duke and I,3.80,"587,023 ratings","44,871 reviews",Julia Quinn135 books42.7k followers
GenresFictionMysteryCrimeNoirClassicsMystery ThrillerAfrican American ...more,"First published January 1, 1957",Chester Himes,A Rage in Harlem,3.90,"6,957 ratings",680 reviews,Chester Himes150 books434 followers
GenresPoetryClassicsNonfictionBiographyMemoirBritish Literature20th Century ...more,"First published January 10, 1998",Ted Hughes,Birthday Letters,3.90,"10,038 ratings",552 reviews,Ted Hughes354 books682 followers
GenresScience FictionFictionPhilosophyClassicsFantasySpeculative FictionNovels ...more,"First published January 1, 1937",Olaf Stapledon,Star Maker,3.91,"8,411 ratings",822 reviews,Olaf Stapledon100 books499 followers
GenresPoetryChildrensPicture BooksFictionClassicsInspirationalHumor ...more,"First published January 1, 1981",Shel Silverstein,The Missing Piece Meets the Big O,4.37,"13,934 ratings",752 reviews,Shel Silverstein102 books10k followers
GenresFictionHistorical FictionRomanceHistoricalWorld War IIWarBritish Literature ...more,"First published September 1, 1995",Rosamunde Pilcher,Coming Home,4.37,"23,711 ratings","1,569 reviews","Rosamunde Pilcher232 books2,707 followers"
GenresHorrorClassicsFictionThrillerMysteryCrimeAudiobook ...more,"First published April 10, 1959",Robert Bloch,Psycho,4.12,"69,765 ratings","4,223 reviews","Robert Bloch995 books1,184 followers"
GenresNonfictionBiographyMemoirAustraliaBiography MemoirAutobiographyDrama ...more,"First published January 1, 1993",Bryce Courtenay,April Fool's Day,4.21,"8,633 ratings",390 reviews,"Bryce Courtenay67 books2,092 followers"
GenresFictionNovelsAmericanLiteratureLiterary FictionContemporary20th Century ...more,"First published June 20, 1991",Don DeLillo,Mao II,3.69,"12,211 ratings",842 reviews,"Don DeLillo82 books6,053 followers"
GenresTravelNonfictionMemoirHistoryTravelogueAdventureHumor ...more,"First published March 1, 1991",Tony Horwitz,Baghdad without a Map and Other Misadventures in Arabia,3.99,"4,068 ratings",229 reviews,Tony Horwitz18 books811 followers
GenresFictionIrelandIrish LiteratureClassicsHistorical FictionLiterary FictionComing Of Age ...more,"First published January 1, 1986",Edna O'Brien,The Country Girls Trilogy and Epilogue,3.89,"3,724 ratings",389 reviews,"Edna O'Brien103 books1,238 followers"
GenresPoetrySpanish LiteratureClassicsLatin American LiteratureCollegeFictionUnfinished,"First published January 1, 1931",Vicente Huidobro,Altazor / Temblor del cielo,4.26,"1,151 ratings",92 reviews,Vicente Huidobro109 books121 followers
GenresFictionClassicsPlaysItaly20th CenturyDramaNovels ...more,"First published January 1, 1950",Tennessee Williams,The Roman Spring of Mrs. Stone,3.65,"1,630 ratings",152 reviews,"Tennessee Williams549 books3,376 followers"
GenresMythologyPoetryNonfictionHistoryReligionClassicsPhilosophy ...more,"First published January 1, 1948",Robert Graves,The White Goddess: A Historical Grammar of Poetic Myth,4.02,"3,569 ratings",238 reviews,"Robert Graves490 books1,767 followers"
GenresFictionHistorical FictionClassicsGerman LiteraturePoetryLiteratureNovels ...more,"First published June 1, 1945",Hermann Broch,The Death of Virgil,4.15,"1,571 ratings",208 reviews,Hermann Broch123 books305 followers
GenresHistorical RomanceRomanceHistoricalHistorical FictionRegencyFictionRegency Romance ...more,"First published December 1, 1988",Julie Garwood,The Lion's Lady,4.18,"24,538 ratings","1,066 reviews",Julie Garwood172 books12.2k followers
GenresNonfictionAnimalsBiographyNatureMemoirClassicsScience ...more,"First published January 28, 1960",Joy Adamson,Born Free: A Lioness of Two Worlds,4.16,"33,554 ratings",404 reviews,Joy Adamson41 books81 followers
GenresFiction,"Published January 1, 1999",José Saramago,Year of the Death of Ricardo Reis / The Gospel According to Jesus Christ / Blindness [3 Books in One],4.23,104 ratings,5 reviews,José Saramago291 books15.3k followers
GenresFictionLiteratureClassicsNovelsLiterary FictionSouthernAmerican ...more,"First published January 1, 1977",Walker Percy,Lancelot,3.72,"2,944 ratings",222 reviews,Walker Percy68 books739 followers
GenresFantasyFictionHigh FantasyYoung AdultScience Fiction FantasyMagicEpic Fantasy ...more,"First published January 1, 1976",Patricia A. McKillip,The Riddle-Master of Hed,3.99,"12,698 ratings",655 reviews,"Patricia A. McKillip95 books2,708 followers"
GenresYoung AdultFictionDystopiaWarScience FictionAustraliaAdventure ...more,"First published January 1, 1993",John Marsden,"Tomorrow, When the War Began",4.04,"57,305 ratings","3,586 reviews","John Marsden101 books1,908 followers"
GenresRomanceHistorical FictionRegencyHistorical RomanceHistoricalFictionRegency Romance ...more,"First published January 1, 1966",Georgette Heyer,Black Sheep,4.10,"12,158 ratings","1,027 reviews","Georgette Heyer256 books5,063 followers"
GenresClassicsFictionHistorical FictionRaceAfrican AmericanAudiobookHistorical ...more,"First published April 1, 1929",Nella Larsen,Passing,3.93,"67,976 ratings","7,193 reviews",Nella Larsen30 books570 followers
GenresFictionHorsesAnimalsContemporaryLiterary FictionSportsNovels ...more,"First published January 1, 1999",Jane Smiley,Horse Heaven,3.89,"5,370 ratings",422 reviews,"Jane Smiley137 books2,428 followers"
GenresPhilosophyPoliticsNonfictionHistoryScienceSociologyClassics ...more,"First published January 1, 1945",Karl Popper,The Open Society and Its Enemies - Volume One: The Spell of Plato,4.16,"2,769 ratings",189 reviews,"Karl Popper276 books1,563 followers"
GenresFictionFantasyItalian LiteratureLiteratureItalyMagical RealismClassics ...more,"First published January 1, 1959",Italo Calvino,The Nonexistent Knight & The Cloven Viscount,4.03,"5,274 ratings",238 reviews,"Italo Calvino512 books8,161 followers"
GenresFictionHistorical FictionThrillerMysteryCrimeHistoricalAdventure ...more,"First published May 12, 1975",Michael Crichton,The Great Train Robbery,3.89,"32,543 ratings","1,916 reviews",Michael Crichton177 books18.2k followers
GenresHistorical FictionPoetryYoung AdultFictionMiddle GradeChildrensHistorical ...more,"First published January 1, 1997",Karen Hesse,Out of the Dust,3.77,"77,279 ratings","5,403 reviews",Karen Hesse60 books463 followers
GenresFictionYoung AdultChildrensMiddle GradeFantasyMysteryAdventure ...more,"First published August 26, 1999",Lemony Snicket,The Reptile Room,4.01,"230,452 ratings","9,387 reviews",Lemony Snicket164 books25.4k followers
GenresChildrensPicture BooksFictionClassicsAnimalsFantasyFamily ...more,"First published January 1, 1957",Else Holmelund Minarik,Little Bear,4.25,"58,647 ratings",634 reviews,Else Holmelund Minarik128 books140 followers
GenresHistorical FictionFictionHistoricalFantasyAdventurePrehistoricPrehistory ...more,"First published July 15, 1990",W. Michael Gear,People of the Wolf,3.90,"9,771 ratings",346 reviews,W. Michael Gear151 books705 followers
GenresClassicsFictionShort StoriesLiteraturePhilosophy20th CenturyFantasy ...more,"First published January 1, 1915",Franz Kafka,Metamorphosis and Other Stories,3.89,"6,237 ratings",612 reviews,"Franz Kafka2,984 books31.4k followers"
GenresHistorical FictionFantasyFictionArthurianHistoricalMythologyMedieval ...more,"First published February 1, 1994",Bernard Cornwell,The Winter King,4.26,"50,258 ratings","2,706 reviews",Bernard Cornwell456 books17.7k followers
GenresHistorical FictionChildrensFictionClassicsHistoricalMiddle GradeJuvenile ...more,"First published April 1, 1997",Maria D. Wilkes,Little Town at the Crossroads,4.08,"7,384 ratings",62 reviews,Maria D. Wilkes14 books59 followers
GenresFictionThrillerEspionageMysteryAdventureClassicsMystery Thriller ...more,"First published April 8, 1957",Ian Fleming,From Russia with Love,3.91,"36,235 ratings","1,651 reviews","Ian Fleming678 books3,100 followers"
GenresFictionClassicsIndiaHistorical FictionSchoolRead For SchoolIndian Literature ...more,"First published January 1, 1954",Kamala Markandaya,Nectar in a Sieve,3.69,"10,421 ratings","1,049 reviews",Kamala Markandaya15 books100 followers
GenresFictionLiteratureScience FictionWesternsNovelsAmericanFantasy ...more,"First published January 1, 1983",William S. Burroughs,The Place of Dead Roads,3.89,"2,579 ratings",159 reviews,"William S. Burroughs367 books6,238 followers"
GenresFictionHorrorYoung AdultRomanceGothicThrillerDrama ...more,"First published November 28, 1981",V.C. Andrews,If There Be Thorns,3.77,"51,322 ratings","1,600 reviews","V.C. Andrews380 books8,385 followers"
GenresScience FictionFantasyFictionSpace OperaAdventureScience Fiction FantasyYoung Adult ...more,"First published January 1, 1966",James H. Schmitz,The Witches of Karres,4.16,"2,796 ratings",203 reviews,James H. Schmitz229 books87 followers
GenresShort StoriesFictionClassicsAmerican20th CenturyLiteratureThe United States Of America ...more,"First published March 1, 1976",Raymond Carver,"Will You Please Be Quiet, Please?",4.20,"18,087 ratings","1,295 reviews","Raymond Carver325 books4,784 followers"
GenresFictionFantasyScotlandClassicsScience FictionNovelsLiterature ...more,"First published January 1, 1981",Alasdair Gray,Lanark,4.10,"7,098 ratings",670 reviews,Alasdair Gray90 books799 followers
GenresFictionClassicsHistorical FictionLiteratureAsiaNovelsTravel ...more,"First published January 1, 1934",George Orwell,Burmese Days,3.87,"29,158 ratings","2,062 reviews","George Orwell1,404 books45.3k followers"
GenresNonfictionHistoryHolocaustMemoirBiographyWorld War IIHistorical ...more,"First published September 22, 1999",Edith Hahn Beer,The Nazi Officer's Wife: How One Jewish Woman Survived the Holocaust,4.16,"47,621 ratings","3,184 reviews",Edith Hahn Beer2 books28 followers
GenresHistorical FictionYoung AdultFictionMiddle GradeChildrensHistoricalMedieval ...more,"First published January 1, 1995",Karen Cushman,The Midwife's Apprentice,3.73,"42,707 ratings","2,157 reviews",Karen Cushman34 books673 followers
GenresSpiritualityPhilosophyFictionAnthropologyReligionPsychologyFantasy ...more,"First published January 1, 1971",Carlos Castaneda,A Separate Reality: Further Conversations with Don Juan,4.08,"18,621 ratings",367 reviews,"Carlos Castaneda119 books2,393 followers"
GenresFictionHistorical FictionMagical RealismNovelsSpanish LiteratureRomanceLiterature ...more,"First published January 1, 1992",Isabel Allende,The Infinite Plan,3.77,"13,327 ratings",739 reviews,Isabel Allende191 books40.2k followers
GenresFictionHistorical FictionLiteratureContemporaryHistoricalAmerican FictionNovels ...more,"First published January 1, 1998",T. Coraghessan Boyle,Riven Rock,3.66,"2,872 ratings",228 reviews,"T. Coraghessan Boyle149 books2,837 followers"
GenresFantasyFictionScience FictionEpic FantasyHigh FantasyScience Fiction FantasyClassics ...more,"First published January 1, 1983",Jack Vance,Suldrun's Garden,3.93,"5,701 ratings",419 reviews,"Jack Vance825 books1,431 followers"
GenresFictionMysteryHistorical FictionWarMystery ThrillerLiteratureThriller ...more,"First published January 1, 1994",Tim O'Brien,In the Lake of the Woods,3.76,"23,003 ratings","1,853 reviews","Tim O'Brien118 books2,991 followers"
GenresFictionFranceClassicsAviationFrench LiteratureAdventureLiterature ...more,"First published December 1, 1931",Antoine de Saint-Exupéry,Night Flight,3.79,"10,877 ratings",837 reviews,"Antoine de Saint-Exupéry1,050 books8,113 followers"
GenresFictionHistorical FictionJapanJapanese LiteratureLiterary FictionLiteratureHistorical ...more,"First published January 1, 1986",Kazuo Ishiguro,An Artist of the Floating World,3.78,"39,722 ratings","3,682 reviews",Kazuo Ishiguro60 books36.8k followers
GenresFictionWarHistorical FictionCrimeNovelsClassicsLiterature ...more,"First published January 1, 1974",Robert  Stone,Dog Soldiers,3.70,"7,154 ratings",417 reviews,Robert  Stone32 books228 followers
GenresFictionHumorClassicsComedyBritish LiteratureAudiobookNovels ...more,"First published October 5, 1934",P.G. Wodehouse,"Right Ho, Jeeves",4.30,"29,996 ratings","2,105 reviews","P.G. Wodehouse1,341 books6,608 followers"
GenresMysteryFictionClassicsCrimeShort StoriesDetectiveMystery Thriller ...more,"First published January 1, 1954",Adrian Conan Doyle,The Exploits of Sherlock Holmes,4.43,"33,352 ratings",172 reviews,Adrian Conan Doyle36 books49 followers
GenresChinaFictionHistorical FictionAsiaNobel PrizeChinese LiteratureLiterature ...more,"First published May 1, 1987",Mo Yan,Red Sorghum,3.80,"7,966 ratings",978 reviews,"Mo Yan279 books1,316 followers"
GenresNonfictionAfricaHistoryJournalismAngolaTravelPolish Literature ...more,"First published January 1, 1976",Ryszard Kapuściński,Another Day of Life,4.18,"5,387 ratings",407 reviews,"Ryszard Kapuściński103 books1,799 followers"
GenresFantasyYoung AdultFictionRomanceAdventureMagicYoung Adult Fantasy ...more,"First published October 1, 1982",Robin McKinley,The Blue Sword,4.21,"61,545 ratings","3,376 reviews","Robin McKinley41 books7,057 followers"
GenresComicsHumorGraphic NovelsFictionChildrensGraphic Novels ComicsComedy ...more,"First published January 1, 1990",Bill Watterson,The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,4.70,"23,552 ratings",586 reviews,"Bill Watterson390 books4,605 followers"
GenresFictionClassicsHumorBritish LiteratureHistorical FictionComedyNovels ...more,"First published January 1, 1931",E.F. Benson,Mapp and Lucia,4.23,"2,900 ratings",276 reviews,E.F. Benson856 books327 followers
GenresCookbooksCookingNonfictionFoodReferenceCulinaryClassics ...more,"First published January 1, 1953",Better Homes and Gardens,Better Homes and Gardens New Cook Book,4.15,"136,033 ratings",616 reviews,"Better Homes and Gardens2,151 books271 followers"
GenresMysteryFictionHistorical FictionCrimeMystery ThrillerThrillerSuspense ...more,"First published January 1, 1993",Barbara Vine,Anna's Book,3.92,"4,642 ratings",293 reviews,Barbara Vine23 books441 followers
GenresNonfictionRaceEducationSocial JusticeAnti RacistPsychologySociology ...more,"First published January 1, 1997",Beverly Daniel Tatum,Why Are All The Black Kids Sitting Together in the Cafeteria?,4.34,"25,860 ratings","2,163 reviews",Beverly Daniel Tatum23 books217 followers
GenresEssaysNonfictionWritingLiteratureShort StoriesClassicsLiterary Criticism ...more,"First published January 1, 1969",Flannery O'Connor,Mystery and Manners: Occasional Prose,4.27,"3,712 ratings",427 reviews,"Flannery O'Connor198 books4,879 followers"
GenresHistorical FictionHistorical RomanceRegencyHistoricalFictionClassicsRegency Romance ...more,"First published January 1, 1949",Georgette Heyer,Arabella,4.09,"21,217 ratings","2,029 reviews","Georgette Heyer256 books5,063 followers"
GenresGraphic NovelsComicsFantasyFictionAdventureYoung AdultHumor ...more,"First published July 3, 1991",Jeff Smith,"Bone, Vol. 1: Out from Boneville",4.19,"89,026 ratings","2,785 reviews","Jeff Smith589 books1,368 followers"
GenresHistorical FictionFictionClassicsYoung AdultChildrensHistoricalSchool ...more,"First published January 1, 1955",Jean Lee Latham,"Carry On, Mr. Bowditch",4.13,"19,020 ratings","1,369 reviews",Jean Lee Latham82 books66 followers
GenresFictionClassicsNobel PrizeSpanish LiteratureLatin AmericanMagical RealismLiterature ...more,"First published January 1, 1946",Miguel Ángel Asturias,The President,3.97,"5,691 ratings",553 reviews,Miguel Ángel Asturias118 books359 followers
GenresHorrorShort StoriesFictionFantasyThrillerMysteryAnthologies ...more,"First published September 29, 1993",Stephen         King,Nightmares and Dreamscapes,3.95,"84,075 ratings","1,907 reviews","Stephen         King2,555 books854k followers"
GenresEconomicsNonfictionBusinessPoliticsFinancePhilosophyHistory ...more,"First published January 1, 1946",Henry Hazlitt,Economics in One Lesson,4.17,"20,109 ratings","1,785 reviews",Henry Hazlitt104 books384 followers
GenresChildrensClassicsFictionSwedish LiteratureFantasyScandinavian LiteratureHumor ...more,"First published January 1, 1955",Astrid Lindgren,Karlsson on the Roof,4.11,"12,925 ratings",221 reviews,"Astrid Lindgren974 books3,571 followers"
GenresHorrorFictionFantasyShort StoriesThrillerMysterySuspense ...more,"First published September 14, 1999",Stephen         King,Hearts in Atlantis,3.86,"97,418 ratings","3,149 reviews","Stephen         King2,555 books854k followers"
GenresFictionHistorical FictionNovelsLiteratureLiterary FictionHolocaustFantasy ...more,"First published September 26, 1991",Martin Amis,"Time's arrow, or, The nature of the offence",3.76,"16,652 ratings","1,485 reviews","Martin Amis84 books2,841 followers"
GenresClassicsHistorical FictionChildrensFictionYoung AdultHistoricalMiddle Grade ...more,"First published January 1, 1971",Laura Ingalls Wilder,The Little House Collection,4.35,"154,136 ratings","2,483 reviews","Laura Ingalls Wilder308 books4,968 followers"
GenresFictionRomanceCrimeClassicsHistorical FictionDramaNovels ...more,"First published January 1, 1952",Harold Robbins,A Stone for Danny Fisher,4.01,"2,542 ratings",148 reviews,Harold Robbins236 books410 followers
GenresFictionMysteryHumorCrimeThrillerComedyMystery Thriller ...more,"First published January 1, 1986",Carl Hiaasen,Tourist Season,3.92,"22,539 ratings","1,148 reviews","Carl Hiaasen123 books8,364 followers"
GenresFantasyFictionChildrensClassicsFinnish LiteratureMiddle GradeAdventure ...more,"First published January 1, 1954",Tove Jansson,Moominsummer Madness,4.29,"12,626 ratings",714 reviews,"Tove Jansson771 books3,470 followers"
GenresPicture BooksChildrensChristianFictionReligionInspirationalChristian Fiction ...more,"Published September 17, 2004",Max Lucado,You Are Special,4.45,"52,799 ratings","1,501 reviews","Max Lucado1,063 books5,022 followers"
GenresShort StoriesFictionClassicsLiteratureBritish Literature20th CenturyEnglish Literature ...more,"First published January 1, 1951",W. Somerset Maugham,Collected Short Stories: Volume 1,4.34,"2,243 ratings",132 reviews,"W. Somerset Maugham1,409 books5,498 followers"
GenresMysteryFictionCrimeClassicsMystery ThrillerDetectiveBritish Literature ...more,"First published November 9, 1953",Agatha Christie,A Pocket Full of Rye,3.92,"46,978 ratings","2,841 reviews","Agatha Christie4,461 books67.4k followers"
GenresFictionRomanceIrelandChick LitContemporaryIrish LiteratureAdult Fiction ...more,"First published January 1, 1996",Maeve Binchy,Evening Class,4.02,"43,583 ratings","1,350 reviews","Maeve Binchy242 books4,641 followers"
GenresFictionClassicsAdventureHistorical FictionMysteryAfricaWar ...more,"First published January 1, 1924",P.C. Wren,Beau Geste,4.02,"3,552 ratings",240 reviews,P.C. Wren121 books44 followers
GenresMysteryCozy MysteryFictionMystery ThrillerAudiobookFoodCulinary ...more,"First published January 1, 1990",Diane Mott Davidson,Catering to Nobody,3.84,"21,906 ratings","1,084 reviews","Diane Mott Davidson82 books2,254 followers"
GenresClassicsFictionSpainLiteratureTravelSportsAmerican ...more,"First published January 1, 1932",Ernest Hemingway,Death in the Afternoon,3.68,"9,109 ratings",581 reviews,"Ernest Hemingway1,557 books29.7k followers"
GenresNonfictionReferenceLanguageLinguisticsEducationWritingTextbooks ...more,"First published January 1, 1985",Raymond Murphy,English Grammar in Use With Answers: Reference and Practice for Intermediate Students,4.32,"1,936 ratings",129 reviews,Raymond Murphy130 books145 followers
GenresFantasyYoung AdultFictionYoung Adult FantasyMagicAdventureMiddle Grade ...more,"First published June 7, 1999",Tamora Pierce,First Test,4.25,"61,734 ratings","1,799 reviews",Tamora Pierce131 books84.5k followers
GenresFictionShort StoriesContemporaryScotlandLiteratureNovelsBritish Literature ...more,"First published January 1, 1994",Irvine Welsh,The Acid House,3.74,"16,880 ratings",513 reviews,"Irvine Welsh140 books7,016 followers"
GenresShort StoriesFictionContemporaryLiteratureLiterary FictionAmerican FictionThe United States Of America,"First published May 1, 1989",T. Coraghessan Boyle,If the River Was Whiskey,3.94,"1,328 ratings",101 reviews,"T. Coraghessan Boyle149 books2,837 followers"
GenresPoetryIrelandIrish LiteratureClassicsNobel PrizeLiterature20th Century ...more,"First published January 1, 1996",Seamus Heaney,Opened Ground,4.27,"5,734 ratings",184 reviews,Seamus Heaney322 books983 followers
GenresFranceFictionClassicsFrench LiteratureRomanNovels20th Century ...more,"First published January 1, 1960",Romain Gary,Promise at Dawn,4.24,"12,566 ratings",940 reviews,"Romain Gary141 books1,741 followers"
GenresHistoryAfricaNonfictionWorld HistoryPoliticsEuropean History19th Century ...more,"First published January 1, 1991",Thomas Pakenham,The Scramble for Africa: The White Man's Conquest of the Dark Continent from 1876 to 1912,4.14,"2,516 ratings",189 reviews,Thomas Pakenham27 books81 followers
GenresHorrorFictionThrillerScience FictionMysterySuspenseFantasy ...more,"First published January 1, 1987",Dean Koontz,Watchers,4.19,"165,997 ratings","5,184 reviews",Dean Koontz878 books37.3k followers
GenresFictionThrillerEspionageMysteryRussiaSpy ThrillerSuspense ...more,"First published May 22, 1989",John le Carré,The Russia House,3.91,"25,079 ratings",636 reviews,"John le Carré199 books8,757 followers"
GenresFictionClassicsLiteratureNovelsAmericanThe United States Of America20th Century ...more,"First published January 1, 1958",Jack Kerouac,The Subterraneans,3.66,"15,862 ratings",791 reviews,Jack Kerouac359 books10.7k followers
GenresFictionRussiaScience FictionClassicsRussian LiteratureHistorical FictionAsia ...more,"First published January 1, 1980",Chingiz Aitmatov,The Day Lasts More than a Hundred Years,4.33,"7,157 ratings",522 reviews,Chingiz Aitmatov144 books830 followers
GenresFantasyScience FictionFictionNovelsScience Fiction FantasyClassicsAudiobook ...more,"First published January 1, 1983",Gene Wolfe,The Citadel of the Autarch,4.24,"9,545 ratings",506 reviews,"Gene Wolfe513 books3,239 followers"
GenresFictionClassicsAfrican AmericanLiterary FictionNovelsLiteratureAmerican ...more,"First published March 12, 1981",Toni Morrison,Tar Baby,3.99,"22,166 ratings","1,181 reviews",Toni Morrison214 books20.3k followers
GenresMysteryFictionCrimeClassicsMystery ThrillerDetectiveAudiobook ...more,"First published November 3, 1958",Agatha Christie,Ordeal by Innocence,3.83,"28,282 ratings","2,434 reviews","Agatha Christie4,461 books67.4k followers"
GenresClassicsFictionRomanceHistorical FictionLiteratureNovelsDrama ...more,"First published May 12, 1976",Jane Austen,"Pride and Prejudice, Mansfield Park, Persuasion",4.51,"6,525 ratings",107 reviews,"Jane Austen3,408 books68.4k followers"
GenresFantasyFictionEpic FantasyHigh FantasyMagicScience Fiction FantasyAdventure ...more,"First published October 1, 1982",Raymond E. Feist,Magician: Apprentice,4.17,"97,154 ratings","2,574 reviews","Raymond E. Feist308 books8,622 followers"
GenresHumorFictionShort StoriesComedyEssaysAmericanContemporary ...more,"First published January 1, 1981",Woody Allen,Without Feathers,3.90,"10,344 ratings",505 reviews,"Woody Allen275 books3,061 followers"
GenresChildrensFantasyFictionClassicsYoung AdultMiddle GradeAdventure ...more,"First published January 1, 1972",Roald Dahl,Charlie and the Great Glass Elevator,3.68,"113,530 ratings","4,049 reviews","Roald Dahl1,390 books25.2k followers"
GenresShort StoriesFictionClassicsLiterary FictionRead For SchoolAdult20th Century ...more,"First published January 1, 1985",T. Coraghessan Boyle,Greasy Lake & Other Stories,3.92,"1,255 ratings",65 reviews,"T. Coraghessan Boyle149 books2,837 followers"
GenresClassicsFictionItalyBritish Literature20th CenturyHistorical FictionLiterature ...more,"First published January 1, 1905",E.M. Forster,Where Angels Fear to Tread,3.60,"16,617 ratings","1,356 reviews","E.M. Forster543 books3,806 followers"
GenresPoetrySpiritualityClassicsPhilosophyReligionNonfictionIslam ...more,"First published January 1, 1999",Hafez,The Gift,4.40,"8,865 ratings",473 reviews,Hafez247 books671 followers
GenresMysteryFictionThrillerCrimeMystery ThrillerSuspenseDetective ...more,"First published February 1, 1993",James Patterson,Along Came a Spider,4.13,"463,674 ratings","6,946 reviews","James Patterson1,138 books348k followers"
GenresFictionScience FictionDystopiaClassicsLiteratureNovelsFantasy ...more,"First published January 1, 1958",Aldous Huxley,Brave New World / Brave New World Revisited,4.16,"166,963 ratings","2,065 reviews","Aldous Huxley1,009 books12.5k followers"
GenresFictionHistorical FictionWarClassicsHistoricalWorld War IINovels ...more,"First published March 1, 1978",Anton Myrer,The Last Convertible,4.24,"2,119 ratings",172 reviews,Anton Myrer14 books58 followers
GenresScience FictionFictionScience Fiction FantasyFantasySpeculative FictionSpaceClassics ...more,"First published July 1, 1976",Frederik Pohl,Man Plus,3.74,"8,451 ratings",344 reviews,"Frederik Pohl1,058 books1,014 followers"
GenresNonfictionSelf HelpPsychologyRelationshipsPersonal DevelopmentMarriagePhilosophy ...more,"First published January 1, 1992",John  Gray,"Men Are from Mars, Women Are from Venus",3.58,"192,152 ratings","7,937 reviews","John  Gray486 books2,042 followers"
